Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
1-Jan-21,01,868.10,"1,197.50",22.11,24.24,-1.30,-0.83,25.62,26.53,0.00,-0.91,22,19
1-Jan-21,02,816.90,"1,159.89",21.98,24.24,-1.37,-0.89,42.53,44.26,0.00,-1.73,21,18
1-Jan-21,03,797.30,"1,139.09",21.90,24.19,-1.37,-0.92,23.61,24.58,0.00,-0.97,21,18
1-Jan-21,04,810.50,"1,138.62",21.65,23.71,-1.17,-0.89,23.89,24.84,0.00,-0.95,20,17
1-Jan-21,05,838.90,"1,155.93",22.05,23.81,-0.90,-0.86,23.82,24.90,-0.16,-0.92,21,17
1-Jan-21,06,857.80,"1,199.66",23.26,24.29,-0.31,-0.72,23.86,24.63,0.00,-0.77,20,18
1-Jan-21,07,"1,237.70","1,261.42",25.46,25.65,0.00,-0.19,36.67,37.47,0.00,-0.80,18,16
1-Jan-21,08,"1,342.40","1,326.99",26.12,26.16,0.00,-0.04,31.35,31.76,0.00,-0.41,17,15
1-Jan-21,09,"1,451.40","1,383.37",25.26,25.27,0.00,-0.01,23.87,24.09,0.00,-0.22,21,18
1-Jan-21,10,"1,489.30","1,413.01",25.66,25.62,0.00,0.04,22.08,22.22,0.00,-0.14,29,20
1-Jan-21,11,"1,529.70","1,422.09",24.86,24.74,0.00,0.12,20.85,20.91,0.00,-0.06,31,19
1-Jan-21,12,"1,535.00","1,406.58",27.83,27.65,0.00,0.18,21.07,21.11,0.00,-0.04,33,18
1-Jan-21,13,"1,585.90","1,396.87",27.80,27.42,0.00,0.38,23.31,23.33,0.00,-0.02,35,19
1-Jan-21,14,"1,553.40","1,396.85",26.43,26.10,0.04,0.29,27.32,27.24,0.00,0.08,35,19
1-Jan-21,15,"1,570.40","1,408.89",28.27,26.71,1.20,0.36,25.35,25.17,0.00,0.18,35,19
1-Jan-21,16,"1,700.90","1,449.44",25.40,24.82,0.00,0.58,26.73,26.46,0.00,0.27,33,23
1-Jan-21,17,"1,891.20","1,558.36",37.48,34.85,1.49,1.14,35.74,35.16,0.00,0.58,32,24
1-Jan-21,18,"1,881.80","1,613.75",61.80,54.55,5.55,1.70,47.52,46.59,0.00,0.93,30,24
1-Jan-21,19,"1,840.80","1,570.73",37.57,36.47,0.00,1.10,44.54,43.62,0.00,0.92,28,24
1-Jan-21,20,"1,786.10","1,502.86",31.88,31.07,0.00,0.81,34.57,34.00,0.00,0.57,30,25
1-Jan-21,21,"1,647.80","1,428.75",27.46,26.88,0.00,0.58,32.94,32.58,0.00,0.36,30,26
1-Jan-21,22,"1,465.20","1,350.24",26.28,25.87,0.00,0.41,25.71,25.55,0.00,0.16,30,26
1-Jan-21,23,"1,261.80","1,262.22",24.38,24.43,0.00,-0.05,34.71,34.71,0.00,0.00,30,26
1-Jan-21,24,"1,155.60","1,194.99",24.29,24.46,0.00,-0.17,42.03,42.25,0.00,-0.22,31,27
2-Jan-21,01,"1,000.80","1,147.90",31.59,31.98,0.00,-0.39,31.86,32.08,0.00,-0.22,30,29
2-Jan-21,02,935.40,"1,116.87",25.77,26.19,0.00,-0.42,24.36,24.62,0.00,-0.26,30,30
2-Jan-21,03,924.10,"1,101.81",23.05,23.43,0.00,-0.38,25.11,25.36,0.00,-0.25,30,30
2-Jan-21,04,882.40,"1,099.46",22.25,22.68,0.00,-0.43,21.52,21.78,0.00,-0.26,31,31
2-Jan-21,05,822.90,"1,113.63",23.75,24.21,0.00,-0.46,20.82,21.17,0.00,-0.35,30,30
2-Jan-21,06,851.40,"1,148.25",21.76,22.19,0.00,-0.43,21.80,22.29,0.00,-0.49,34,34
2-Jan-21,07,918.00,"1,213.76",24.82,25.11,0.00,-0.29,22.92,23.43,0.00,-0.51,35,35
2-Jan-21,08,983.50,"1,290.96",27.69,27.87,0.00,-0.18,21.96,22.33,0.00,-0.37,36,36
2-Jan-21,09,"1,073.80","1,386.63",29.67,29.83,0.00,-0.16,24.57,24.87,0.00,-0.30,37,37
2-Jan-21,10,"1,124.30","1,464.46",30.73,30.87,0.00,-0.14,25.09,25.25,0.00,-0.16,38,38
2-Jan-21,11,"1,176.20","1,515.83",32.09,32.04,0.00,0.05,25.01,25.05,0.00,-0.04,34,34
2-Jan-21,12,"1,199.70","1,535.27",35.60,35.48,0.00,0.12,25.64,25.68,-0.04,0.00,31,30
2-Jan-21,13,"1,159.00","1,537.06",32.10,32.05,0.00,0.05,21.07,21.13,-0.11,0.05,32,31
2-Jan-21,14,"1,111.80","1,502.01",29.52,29.53,0.00,-0.01,22.71,22.64,-0.03,0.10,32,31
2-Jan-21,15,"1,123.40","1,486.27",28.65,28.74,-0.03,-0.06,23.23,23.15,0.00,0.08,33,32
2-Jan-21,16,"1,147.70","1,499.06",26.93,27.01,-0.02,-0.06,24.02,23.95,0.00,0.07,33,31
2-Jan-21,17,"1,278.20","1,565.77",38.28,38.20,-0.06,0.14,30.09,30.16,-0.04,-0.03,33,32
2-Jan-21,18,"1,293.00","1,629.86",44.41,44.50,-0.17,0.08,49.20,49.22,-0.04,0.02,32,31
2-Jan-21,19,"1,245.60","1,580.79",38.78,38.89,-0.12,0.01,44.76,44.78,0.00,-0.02,33,32
2-Jan-21,20,"1,161.40","1,506.45",28.33,28.74,-0.25,-0.16,38.88,39.28,0.00,-0.40,35,30
2-Jan-21,21,"1,096.80","1,432.64",25.45,25.99,-0.31,-0.23,38.09,38.52,0.00,-0.43,32,30
2-Jan-21,22,984.80,"1,344.80",26.18,27.05,-0.38,-0.49,40.01,40.61,0.00,-0.60,30,27
2-Jan-21,23,854.70,"1,263.43",26.67,27.82,-0.39,-0.76,30.32,31.12,0.00,-0.80,31,27
2-Jan-21,24,783.60,"1,204.68",20.45,21.36,-0.33,-0.58,23.56,24.28,0.00,-0.72,30,25
3-Jan-21,01,759.00,"1,158.30",27.63,28.52,-0.02,-0.87,22.27,23.02,0.00,-0.75,28,23
3-Jan-21,02,706.40,"1,128.48",25.45,26.57,-0.23,-0.89,24.14,24.89,0.00,-0.75,28,22
3-Jan-21,03,704.00,"1,117.79",25.18,26.28,-0.21,-0.89,24.15,24.90,0.00,-0.75,27,22
3-Jan-21,04,730.50,"1,116.93",24.11,25.02,-0.10,-0.81,24.23,24.99,0.00,-0.76,25,22
3-Jan-21,05,780.70,"1,140.44",24.53,25.23,-0.03,-0.67,24.37,25.02,0.00,-0.65,25,22
3-Jan-21,06,823.90,"1,178.35",26.25,26.82,0.00,-0.57,25.08,25.55,0.00,-0.47,25,21
3-Jan-21,07,928.90,"1,244.72",29.35,29.64,0.00,-0.29,40.72,40.92,0.00,-0.20,25,22
3-Jan-21,08,"1,073.80","1,323.00",26.12,26.16,0.00,-0.04,37.35,37.39,0.00,-0.04,23,20
3-Jan-21,09,"1,223.70","1,396.65",28.01,27.86,0.00,0.15,41.15,41.04,0.00,0.11,24,21
3-Jan-21,10,"1,217.10","1,452.71",28.25,28.11,0.00,0.14,46.18,45.85,0.00,0.33,29,23
3-Jan-21,11,"1,253.80","1,482.13",30.80,30.62,0.00,0.18,45.07,44.53,0.00,0.54,29,23
3-Jan-21,12,"1,258.40","1,510.08",34.58,34.28,0.00,0.30,38.70,38.23,0.00,0.47,30,23
3-Jan-21,13,"1,316.20","1,511.31",31.11,30.75,0.00,0.36,33.31,32.91,0.00,0.40,30,23
3-Jan-21,14,"1,331.00","1,508.91",30.46,30.11,0.00,0.35,31.38,30.94,0.00,0.44,31,24
