Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
1-Jan-23,01,923.30,"1,038.20",31.45,31.28,0.00,0.17,37.04,36.93,0.00,0.11,44,44
1-Jan-23,02,893.30,986.73,28.54,28.44,0.00,0.10,33.49,33.39,0.00,0.10,45,45
1-Jan-23,03,875.30,961.41,26.91,26.83,0.00,0.08,32.05,32.09,0.00,-0.04,44,44
1-Jan-23,04,877.60,954.86,28.26,28.19,0.00,0.07,31.70,31.75,0.01,-0.06,47,47
1-Jan-23,05,903.50,957.08,29.83,29.70,0.00,0.13,31.77,31.80,0.00,-0.03,46,46
1-Jan-23,06,921.10,980.07,28.53,28.45,0.00,0.08,29.87,29.99,0.00,-0.12,48,48
1-Jan-23,07,973.80,"1,064.47",29.07,28.93,0.00,0.14,24.70,24.87,0.00,-0.17,49,48
1-Jan-23,08,"1,039.00","1,116.01",28.47,28.23,0.00,0.24,25.00,25.20,0.00,-0.20,48,47
1-Jan-23,09,"1,097.50","1,180.03",28.72,28.41,0.00,0.31,14.09,14.27,0.00,-0.18,49,46
1-Jan-23,10,"1,166.00","1,174.51",31.85,31.37,0.01,0.47,10.07,10.24,0.00,-0.17,50,46
1-Jan-23,11,"1,161.60","1,181.18",30.99,30.77,0.01,0.21,-5.16,-5.26,0.00,0.10,53,46
1-Jan-23,12,"1,142.20","1,182.81",29.16,29.06,0.01,0.09,21.41,22.33,-0.15,-0.77,54,45
1-Jan-23,13,"1,143.10","1,197.21",28.66,28.59,0.01,0.06,20.84,21.82,-0.23,-0.75,55,40
1-Jan-23,14,"1,113.60","1,206.56",28.25,28.24,0.01,0.00,19.44,20.16,-0.21,-0.51,54,39
1-Jan-23,15,"1,120.50","1,235.69",29.42,29.42,0.01,-0.01,22.89,23.61,-0.23,-0.49,53,38
1-Jan-23,16,"1,162.80","1,269.45",33.21,33.17,0.00,0.04,44.86,45.86,-0.45,-0.55,50,37
1-Jan-23,17,"1,246.50","1,371.45",41.88,41.88,0.00,0.00,45.74,46.15,-0.12,-0.29,47,34
1-Jan-23,18,"1,300.70","1,433.30",51.88,51.77,0.01,0.10,71.08,71.03,0.00,0.05,47,33
1-Jan-23,19,"1,284.20","1,392.59",46.15,46.14,0.01,0.00,38.57,38.63,0.00,-0.06,46,34
1-Jan-23,20,"1,218.10","1,339.32",47.69,47.91,0.01,-0.23,37.76,38.21,0.00,-0.45,45,35
1-Jan-23,21,"1,151.60","1,276.17",35.53,35.69,0.00,-0.16,43.09,43.57,0.00,-0.48,44,35
1-Jan-23,22,"1,067.00","1,194.74",35.39,35.71,0.00,-0.32,41.38,41.74,0.00,-0.36,43,33
1-Jan-23,23,989.60,"1,133.99",31.76,32.16,0.00,-0.40,48.82,49.18,0.00,-0.36,42,32
